Date,AAPL,ABBV,AEP,AMT,AMZN,APD,BA,BAC,BRK-B,CAT,CMCSA,COP,COST,CVX,D,DIS,DUK,EOG,FCX,GE,GOOGL,GS,HD,HON,JNJ,JPM,KO,LIN,MCD,META,MRK,MS,MSFT,NEE,NFLX,NKE,NVDA,PEP,PFE,PG,PLD,SLB,SO,T,TSLA,UNH,UPS,VZ,WMT,XOM
2015-01-01,25.949113845825195,37.93001937866211,42.16102600097656,73.6839599609375,17.726499557495117,102.36211395263672,127.1438980102539,11.95394229888916,143.91000366210938,60.193843841552734,18.88741111755371,43.78740310668945,115.0910873413086,63.322505950927734,47.62030792236328,82.825439453125,54.857093811035156,64.00931549072266,14.72890567779541,97.64842987060547,26.65717887878418,137.9521026611328,80.13097381591797,69.5665054321289,73.34077453613281,40.011409759521484,28.899126052856445,98.33621978759766,69.65995025634766,75.31893920898438,40.563682556152344,24.943222045898438,34.35874557495117,20.372739791870117,6.311429023742676,39.90605545043945,0.4606715142726898,66.81321716308594,18.33407974243164,61.55796813964844,32.363033294677734,60.14040756225586,31.53899383544922,11.083555221557617,13.573332786560059,88.37873840332031,65.71105194091797,25.048015594482422,22.92351531982422,54.18046188354492
2015-02-01,28.451894760131836,38.30974578857422,38.65041732788086,75.348388671875,19.007999420166016,109.76456451416016,131.9368133544922,12.474710464477539,147.41000366210938,62.91093826293945,21.184423446655273,45.33087921142578,118.28650665283203,65.88555145263672,44.64752197265625,94.77214050292969,49.449440002441406,64.63307189941406,19.212848663330078,106.23200225830078,27.900897979736328,151.85850524902344,88.05811309814453,73.13880920410156,75.07653045654297,45.378292083740234,30.39427375793457,104.29723358154297,74.52801513671875,78.35511779785156,39.39278030395508,26.48036766052246,37.2928352355957,19.2947998046875,6.78442907333374,42.01275634765625,0.5292924046516418,70.51799774169922,20.135215759277344,62.613624572753906,30.62085723876953,61.432411193847656,28.4733829498291,11.85527515411377,13.555999755859375,94.51740264892578,67.63236999511719,27.418027877807617,22.640274047851562,54.874603271484375
2015-03-01,27.668073654174805,37.06864547729492,38.080841064453125,71.55590057373047,18.604999542236328,106.34806060791016,132.0752410888672,12.143315315246582,144.32000732421875,60.732940673828125,20.146242141723633,43.75740051269531,126.28304290771484,65.47261810302734,44.27935791015625,95.50967407226562,48.7960319519043,66.05223083496094,16.83233642578125,102.34103393554688,27.50765037536621,150.8744659423828,87.18329620361328,74.59774780273438,74.19342041015625,44.85995101928711,28.46392250061035,98.45855712890625,74.06591033935547,81.5798110961914,38.67949676513672,26.4063777923584,34.82595443725586,19.546714782714844,5.952713966369629,43.527225494384766,0.5041135549545288,68.1241455078125,20.591022491455078,60.267337799072266,31.23026466369629,61.26237106323242,27.839229583740234,11.200077056884766,12.584667205810547,98.39359283447266,64.90962982177734,26.963354110717773,22.187088012695312,53.077125549316406
2015-04-01,27.828176498413086,40.943946838378906,38.500572204589844,71.84471130371094,21.089000701904297,101.36711883544922,126.14383697509766,12.608699798583984,141.2100067138672,65.93124389648438,20.698970794677734,47.735347747802734,119.23953247070312,69.2645263671875,44.78543472290039,98.99718475341797,49.298091888427734,71.2822036743164,20.669584274291992,111.70479583740234,27.213579177856445,157.6568145751953,82.51793670654297,72.17335510253906,73.16092681884766,46.84449005126953,28.707189559936523,99.98286437988281,73.389404296875,78.15665435791016,40.403480529785156,27.604976654052734,41.660945892333984,18.960599899291992,7.949999809265137,42.88080978393555,0.5347023606300354,68.2220230102539,20.08201026916504,58.480072021484375,29.06782341003418,69.46347045898438,27.851804733276367,11.88271713256836,15.069999694824219,92.97250366210938,67.31340789794922,27.966922760009766,21.180583953857422,54.55705261230469
2015-05-01,28.968870162963867,42.515777587890625,38.107913970947266,70.82937622070312,21.46150016784668,103.72056579589844,123.6621322631836,13.059855461120605,143.0,65.28404998779297,20.949831008911133,44.75539779663086,119.18125915527344,64.23775482177734,44.060672760009766,100.49960327148438,48.12870788574219,64.004638671875,17.501930236816406,112.48855590820312,27.04249382019043,165.49876403808594,85.94266510009766,74.51908111572266,73.85415649414062,49.03434753417969,28.990299224853516,100.74547576904297,72.91815185546875,78.57339477539062,41.30570983886719,28.37836456298828,40.1363525390625,19.22547721862793,8.915143013000488,44.10858917236328,0.5330163240432739,69.16159057617188,20.567350387573242,58.12005615234375,28.626741409301758,66.64411926269531,27.468305587768555,12.0750093460083,16.719999313354492,100.32516479492188,66.43628692626953,27.721933364868164,20.154802322387695,53.20203399658203
2015-06-01,28.00693130493164,42.89886474609375,36.20355224609375,71.21104431152344,21.704500198364258,96.70266723632812,122.86041259765625,13.471440315246582,136.11000061035156,64.90145874023438,21.551870346069336,43.649322509765625,112.88746643066406,60.76472854614258,42.16224670410156,103.93244934082031,45.35371780395508,63.18192672729492,16.584531784057617,109.6010513305664,26.78066062927246,168.1083526611328,85.71897888183594,73.27979278564453,72.40179443359375,50.51029586791992,27.765844345092773,98.03130340576172,72.89242553710938,85.10216522216797,38.619388580322266,28.816665649414062,38.060951232910156,18.55723762512207,9.384857177734375,46.991416931152344,0.4866052269935608,66.94538879394531,20.00947380065918,58.008846282958984,26.826261520385742,63.28144073486328,26.676822662353516,12.41761302947998,17.884000778198242,101.81906127929688,65.36946868896484,26.135095596313477,19.36989974975586,52.38285446166992
2015-07-01,27.084754943847656,44.69935989379883,38.6640510559082,72.94467163085938,26.8075008392334,101.29442596435547,127.68730926513672,14.194580078125,142.74000549316406,60.1650505065918,22.456989288330078,35.78092575073242,121.44638061523438,55.731971740722656,45.20759963989258,109.26840209960938,47.66570281982422,55.70547866821289,10.465534210205078,108.57805633544922,32.60551834106445,165.11317443847656,90.74937438964844,75.49319458007812,74.4447021484375,51.08427429199219,29.315093994140625,94.14435577392578,76.56505584716797,93.27799224853516,40.30070495605469,28.85381507873535,40.25925827026367,19.914527893066406,11.430999755859375,50.12358474731445,0.48273375630378723,69.61371612548828,21.519290924072266,56.86705780029297,29.6323184967041,61.14396667480469,28.478628158569336,12.144932746887207,17.74333381652832,101.74744415283203,69.04571533203125,26.23602867126465,19.65663719177246,49.87074279785156
2015-08-01,25.177879333496094,40.14269256591797,37.10574722290039,70.7051773071289,25.644500732421875,99.17627716064453,115.73961639404297,12.972005844116211,134.0399932861328,59.0294303894043,20.269222259521484,35.40436935424805,117.05824279785156,51.014163970947266,43.978118896484375,93.30841827392578,45.53995132446289,56.62533950805664,9.568902969360352,103.2531509399414,32.12548065185547,151.85223388671875,90.30738067626953,71.33948516845703,69.81654357910156,48.09432601928711,28.05914306640625,87.22419738769531,72.85409545898438,88.7336654663086,36.807884216308594,25.690715789794922,37.517826080322266,18.629182815551758,11.503000259399414,48.61405944824219,0.5439525842666626,67.14273834228516,19.22771644592285,52.825347900390625,27.727853775024414,57.12036895751953,27.638214111328125,11.812049865722656,16.604000091552734,96.97018432617188,65.86863708496094,26.102508544921875,17.67677116394043,47.3712272644043
2015-09-01,24.740074157714844,34.997013092041016,39.22927474975586,67.476318359375,25.594499588012695,90.68234252929688,116.71866607666016,12.36865520477295,130.39999389648438,50.473087310791016,20.467126846313477,34.54716491699219,121.1684341430664,50.31113815307617,44.788578033447266,93.60150146484375,46.71330642700195,52.641117095947266,8.714539527893066,104.91720581054688,31.6568546295166,140.38601684570312,89.55520629882812,68.38139343261719,69.87904357910156,45.74587631225586,28.63003158569336,84.01565551757812,76.21084594726562,89.19999694824219,33.75936508178711,23.490787506103516,38.407371520996094,18.60893440246582,10.326000213623047,53.49503707885742,0.5989702343940735,68.13259887695312,18.890819549560547,53.77467727661133,28.384565353393555,51.25579071044922,28.795278549194336,11.591460227966309,16.559999465942383,97.23001098632812,67.04615783691406,24.68419075012207,17.82772445678711,47.248870849609375
2015-10-01,26.803617477416992,38.30310821533203,39.08440399169922,78.80596160888672,31.295000076293945,99.42832946777344,131.9781036376953,13.364200592041016,136.02000427246094,56.36521911621094,22.532546997070312,38.429752349853516,132.5250701904297,57.9649543762207,45.456783294677734,104.17058563232422,46.40813064575195,62.07745361328125,10.585153579711914,121.38623046875,36.56726837158203,151.48696899414062,96.36317443847656,74.58473205566406,75.62806701660156,48.20687484741211,30.483205795288086,92.26952362060547,86.82295227050781,101.176025390625,37.68319320678711,24.587026596069336,45.679290771484375,19.583736419677734,10.838000297546387,57.145877838134766,0.6893622875213623,74.40592956542969,20.340261459350586,57.093528747558594,31.513246536254883,58.08546829223633,29.052953720092773,11.922340393066406,13.795332908630371,99.14046478271484,69.9878158569336,26.596080780029297,15.738103866577148,52.58066177368164
