Date,AAPL,ABBV,AEP,AMT,AMZN,APD,BA,BAC,BRK-B,CAT,CMCSA,COP,COST,CVX,D,DIS,DUK,EOG,FCX,GE,GOOGL,GS,HD,HON,JNJ,JPM,KO,LIN,MCD,META,MRK,MS,MSFT,NEE,NFLX,NKE,NVDA,PEP,PFE,PG,PLD,SLB,SO,T,TSLA,UNH,UPS,VZ,WMT,XOM
2017-02-01,0.76,0.64,0.58,0.3,0.62,0.18,0.06,0.9,0.04,0.34,0.82,0.7,0.08,0.36,0.54,0.2,0.5,0.42,0.98,0.14,0.66,0.02,0.16,0.28,0.26,0.44,0.78,0.24,0.22,0.12,0.6,0.72,0.48,0.84,0.96,0.56,1.0,0.32,0.86,0.4,0.68,0.46,0.74,0.94,0.92,0.1,0.38,0.8,0.88,0.52
2017-03-01,0.74,0.62,0.58,0.28,0.64,0.18,0.06,0.9,0.04,0.36,0.82,0.7,0.08,0.38,0.54,0.2,0.5,0.4,0.98,0.14,0.66,0.02,0.16,0.3,0.26,0.44,0.78,0.24,0.22,0.12,0.6,0.76,0.48,0.84,0.96,0.56,1.0,0.32,0.86,0.42,0.68,0.46,0.72,0.94,0.92,0.1,0.34,0.8,0.88,0.52
2017-04-01,0.76,0.66,0.56,0.26,0.6,0.2,0.04,0.92,0.06,0.34,0.8,0.7,0.08,0.38,0.54,0.22,0.48,0.44,0.98,0.14,0.62,0.02,0.16,0.28,0.3,0.42,0.78,0.24,0.18,0.12,0.64,0.74,0.46,0.84,0.96,0.58,1.0,0.32,0.88,0.4,0.68,0.5,0.72,0.94,0.9,0.1,0.36,0.82,0.86,0.52
2017-05-01,0.7,0.66,0.56,0.24,0.58,0.2,0.02,0.92,0.06,0.34,0.8,0.76,0.08,0.38,0.5,0.26,0.48,0.42,0.98,0.18,0.6,0.04,0.14,0.3,0.28,0.44,0.74,0.22,0.16,0.12,0.62,0.78,0.46,0.84,0.94,0.64,1.0,0.32,0.9,0.4,0.68,0.54,0.72,0.96,0.86,0.1,0.36,0.82,0.88,0.52
2017-06-01,0.74,0.6,0.58,0.24,0.62,0.2,0.02,0.92,0.06,0.32,0.8,0.78,0.12,0.4,0.54,0.3,0.48,0.44,0.98,0.18,0.66,0.04,0.14,0.28,0.26,0.38,0.72,0.22,0.16,0.1,0.64,0.7,0.46,0.82,0.96,0.52,1.0,0.34,0.9,0.42,0.68,0.56,0.76,0.94,0.86,0.08,0.36,0.84,0.88,0.5
2017-07-01,0.74,0.62,0.58,0.24,0.6,0.18,0.02,0.92,0.06,0.32,0.8,0.76,0.12,0.38,0.56,0.28,0.48,0.44,0.98,0.2,0.66,0.04,0.16,0.3,0.26,0.4,0.72,0.22,0.14,0.08,0.68,0.7,0.46,0.84,0.94,0.54,1.0,0.34,0.9,0.42,0.64,0.52,0.78,0.96,0.88,0.1,0.36,0.82,0.86,0.5
2017-08-01,0.7,0.54,0.5,0.18,0.62,0.2,0.02,0.92,0.06,0.3,0.82,0.78,0.12,0.38,0.52,0.32,0.48,0.46,0.98,0.24,0.64,0.04,0.16,0.26,0.28,0.42,0.74,0.22,0.14,0.1,0.68,0.72,0.44,0.8,0.94,0.66,1.0,0.34,0.9,0.4,0.58,0.6,0.76,0.96,0.86,0.08,0.36,0.84,0.88,0.56
2017-09-01,0.74,0.48,0.58,0.22,0.64,0.18,0.02,0.92,0.06,0.28,0.84,0.7,0.12,0.38,0.56,0.32,0.5,0.44,0.98,0.26,0.62,0.04,0.14,0.24,0.3,0.4,0.78,0.2,0.16,0.1,0.66,0.72,0.46,0.82,0.94,0.68,1.0,0.36,0.86,0.42,0.6,0.54,0.76,0.96,0.9,0.08,0.34,0.8,0.88,0.52
2017-10-01,0.7,0.48,0.58,0.22,0.56,0.18,0.02,0.9,0.06,0.24,0.84,0.72,0.12,0.38,0.54,0.3,0.5,0.44,0.98,0.32,0.6,0.04,0.16,0.28,0.26,0.4,0.78,0.2,0.14,0.1,0.68,0.74,0.42,0.8,0.94,0.66,1.0,0.34,0.88,0.46,0.62,0.64,0.76,0.96,0.92,0.08,0.36,0.82,0.86,0.52
2017-11-01,0.72,0.48,0.56,0.26,0.52,0.2,0.02,0.9,0.08,0.22,0.86,0.74,0.12,0.38,0.54,0.3,0.5,0.44,0.98,0.4,0.64,0.04,0.14,0.24,0.28,0.36,0.78,0.18,0.16,0.1,0.68,0.7,0.42,0.82,0.94,0.6,1.0,0.32,0.88,0.46,0.62,0.66,0.76,0.96,0.92,0.06,0.34,0.8,0.84,0.58
2017-12-01,0.74,0.48,0.6,0.26,0.52,0.2,0.02,0.88,0.06,0.22,0.84,0.68,0.12,0.34,0.56,0.3,0.5,0.4,0.96,0.44,0.64,0.04,0.14,0.24,0.28,0.38,0.76,0.18,0.16,0.1,0.7,0.72,0.42,0.82,0.94,0.58,1.0,0.32,0.9,0.46,0.66,0.62,0.78,0.98,0.92,0.08,0.36,0.8,0.86,0.54
2018-01-01,0.74,0.44,0.66,0.26,0.48,0.2,0.02,0.9,0.06,0.22,0.84,0.68,0.12,0.38,0.62,0.3,0.6,0.42,0.96,0.46,0.56,0.04,0.14,0.24,0.28,0.36,0.76,0.16,0.18,0.1,0.72,0.7,0.4,0.8,0.88,0.52,1.0,0.32,0.92,0.5,0.64,0.58,0.82,0.98,0.94,0.08,0.34,0.78,0.86,0.54
2018-02-01,0.7,0.38,0.64,0.26,0.44,0.18,0.02,0.88,0.06,0.2,0.86,0.72,0.12,0.4,0.62,0.3,0.56,0.46,0.96,0.48,0.54,0.04,0.14,0.24,0.28,0.32,0.76,0.16,0.22,0.1,0.74,0.68,0.34,0.78,0.84,0.52,1.0,0.36,0.92,0.5,0.66,0.6,0.8,0.98,0.94,0.08,0.42,0.82,0.9,0.58
2018-03-01,0.74,0.46,0.58,0.24,0.44,0.16,0.02,0.9,0.06,0.22,0.88,0.68,0.1,0.38,0.66,0.3,0.54,0.4,0.96,0.5,0.62,0.04,0.14,0.26,0.28,0.32,0.76,0.2,0.18,0.12,0.72,0.7,0.36,0.78,0.84,0.52,1.0,0.34,0.92,0.48,0.64,0.6,0.8,0.98,0.94,0.08,0.42,0.82,0.86,0.56
2018-04-01,0.74,0.46,0.6,0.26,0.44,0.2,0.02,0.88,0.08,0.22,0.92,0.66,0.1,0.32,0.68,0.3,0.54,0.34,0.98,0.48,0.64,0.06,0.14,0.24,0.28,0.36,0.76,0.18,0.16,0.12,0.7,0.72,0.38,0.78,0.84,0.5,1.0,0.42,0.9,0.52,0.62,0.56,0.8,0.96,0.94,0.04,0.4,0.82,0.86,0.58
2018-05-01,0.72,0.46,0.66,0.26,0.42,0.18,0.02,0.88,0.06,0.22,0.92,0.62,0.12,0.34,0.68,0.3,0.56,0.36,0.96,0.5,0.6,0.1,0.14,0.24,0.28,0.38,0.8,0.16,0.2,0.08,0.7,0.74,0.32,0.78,0.76,0.48,1.0,0.44,0.9,0.52,0.64,0.58,0.82,0.98,0.94,0.04,0.4,0.84,0.86,0.54
2018-06-01,0.72,0.48,0.64,0.22,0.4,0.2,0.02,0.92,0.1,0.24,0.88,0.6,0.08,0.36,0.68,0.28,0.56,0.32,0.96,0.52,0.58,0.12,0.14,0.26,0.3,0.42,0.78,0.16,0.18,0.06,0.7,0.76,0.34,0.8,0.74,0.46,1.0,0.38,0.9,0.5,0.66,0.62,0.82,0.98,0.94,0.04,0.44,0.84,0.86,0.54
2018-07-01,0.72,0.5,0.62,0.26,0.42,0.18,0.02,0.92,0.08,0.24,0.86,0.6,0.1,0.4,0.68,0.28,0.56,0.34,0.96,0.52,0.54,0.06,0.14,0.22,0.3,0.36,0.76,0.16,0.2,0.12,0.7,0.74,0.32,0.8,0.82,0.46,1.0,0.38,0.88,0.48,0.66,0.64,0.78,0.98,0.94,0.04,0.44,0.84,0.9,0.58
2018-08-01,0.66,0.48,0.62,0.24,0.34,0.18,0.02,0.92,0.08,0.26,0.88,0.58,0.06,0.44,0.72,0.3,0.54,0.42,0.98,0.56,0.52,0.1,0.14,0.22,0.28,0.36,0.8,0.16,0.2,0.12,0.68,0.74,0.32,0.82,0.76,0.46,1.0,0.4,0.9,0.5,0.64,0.7,0.84,0.96,0.94,0.04,0.38,0.78,0.86,0.6
