factor,mean_gamma,t_stat,p_val
截距,0.015024463080200888,3.1297605421490995,0.0017494885144378324
Mom,0.0031210491446098682,0.4706129017173381,0.6379171926256969
Size,-0.0015810964280161812,-0.8206777490088556,0.41182984832472136
Value,-0.0015810964280161795,-0.8206777490088548,0.4118298483247217
